[MSI]	
Submission Title	Metabolic and transcriptional response of Arabidopsis thaliana wildtype and mutants to Phytophtora infestans	
Submission Identifier	GSB-68	
Submission Description	The oomycete P. infestans is the causal agent of late blight, the most devastating potato disease. In contrast to potato, A. thaliana is able to successfully prevent colonization of the pathogen due to a multi-layered nonhost resistance. Several mutants have been isolated which are impaired in penetration resistance. We used six different plant lines, the wildtype-like gl1, and the five different mutants (pen2, pen2erp1, pen2erp2, erp2D, erp140).	
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2014/03/19	
Submission Update Date	2014/03/19	
Publication PubMed ID	23072470	
Publication DOI	
Term Source Name	EFO	NCBITaxon	UO	PO	
Term Source URI	http://bioportal.bioontology.org/ontologies/50608	http://bioportal.bioontology.org/ontologies/47845	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=UO	http://bioportal.bioontology.org/ontologies/50642	
Term Source Version	50608	47845	Jun 2010	50642	
	
[SCD]	
Sample Name	Sample Accession	Organism	Term Source REF	Term Source ID	Characteristic[organism part]	Term Source REF	Term Source ID	Characteristic[genotype]	Characteristic[Treatment]	Term Source REF	Term Source ID	Characteristic[Sampling time]	Unit	Term Source REF	Term Source ID	
46	SAMEA2630387	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
47	SAMEA2630365	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
48	SAMEA2630420	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
49	SAMEA2630432	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
5	SAMEA2630400	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
50	SAMEA2630372	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
51	SAMEA2630422	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
52	SAMEA2630405	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
53	SAMEA2630390	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
54	SAMEA2630399	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
55	SAMEA2630374	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
56	SAMEA2630431	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
57	SAMEA2630408	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
58	SAMEA2630389	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
59	SAMEA2630371	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
6	SAMEA2630416	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
60	SAMEA2630370	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
61	SAMEA2630425	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
62	SAMEA2630415	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
63	SAMEA2630395	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
64	SAMEA2630373	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
65	SAMEA2630369	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
66	SAMEA2630419	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
67	SAMEA2630407	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
68	SAMEA2630388	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
69	SAMEA2630364	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
7	SAMEA2630428	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
70	SAMEA2630427	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
71	SAMEA2630376	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
72	SAMEA2630397	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
8	SAMEA2630426	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
9	SAMEA2630366	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
